Exporter,Category,Export Value
96,"Petroleum oils and oils from bituminous minerals, not crude",3730009.974
96,Petroleum gases and other gaseous hydrocarbons,3068558.2600000002
96,Oils,1829026.9409999999
96,Cyclic hydrocarbons,1673668.237
96,"Fertilizers, mineral or chemical",406551.50800000003
100,Copper,4048384.204
100,Cereals,2437719.83
100,"Petroleum oils and oils from bituminous minerals, not crude",2413267.004
100,Petroleum gases and other gaseous hydrocarbons,1402274.342
100,Electrical apparatus,1301286.281
104,Petroleum gases and other gaseous hydrocarbons,3450459.0300000003
104,Coats,1714471.737
104,"Vegetables, leguminous",1558856.685
104,"Compounds, inorganic or organic (excluding cerium), of rare-earth metals, of yttrium, scandium or of mixtures of these metals",1441901.598
104,Cereals,1372082.318
108,Metals,132148.965
108,Coffee,42855.668
108,"Tea, black",11671.588
108,Tin ores and concentrates,2638.615
108,Iron or non-alloy steel,1869.602
112,"Fertilizers, mineral or chemical",2039148.6309999998
112,Vegetable oils,517952.80199999997
112,Wood,442863.1
112,Dairy produce,351382.908
112,Meat and edible offal,295892.606
116,"Trousers, bib and brace overalls, breeches and shorts",3366957.924
116,Electrical apparatus,2537808.57
116,Cases and containers,2371349.87
116,"Jerseys, pullovers, cardigans, waistcoats and similar articles",2331732.765
116,Metals,1784964.629
120,Oils,2431030.406
120,Petroleum gases and other gaseous hydrocarbons,1123619.906
120,Metals,951440.707
120,Cocoa beans,719188.846
120,"Wood, tropical",329710.778
124,Oils,106202192.997
124,Vehicles,52478648.552
124,Metals,23640925.242
124,"Petroleum oils and oils from bituminous minerals, not crude",14712843.802
124,Petroleum gases and other gaseous hydrocarbons,14180858.559
132,Fish preparations,56995.314
132,Molluscs,8541.656
132,Fish fillets,5050.222000000001
132,Ferrous waste and scrap,3596.6730000000002
132,Footwear,3187.0449999999996
136,"Aeroplanes and other aircraft, except unmanned",397188.859
136,Motorboats,290917.602
136,Petroleum gases and other gaseous hydrocarbons,9883.673999999999
136,Communication apparatus (excluding telephone sets or base stations),6961.877
136,Ethyl alcohol and other spirits,2806.921
140,Metals,112305.09800000001
140,"Wood, tropical",51414.527
140,Diamonds,21033.455
140,"Wood, tropical, n.e.c. in item no. 4407.2, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or finger-jointed, of a thickness exceeding 6mm",11656.258
140,Cotton,1366.401
144,"Tea, black",1103494.575
144,Rubber,1033151.7930000001
144,"Trousers, bib and brace overalls, breeches and shorts",971977.127
144,Brassieres,591509.267
144,"T-shirts, singlets and other vests",450567.691
148,Oils,3024386.119
148,Metals,1112388.485
148,Oil seeds,167505.46099999998
148,Gum Arabic,27544.499000000003
148,Cotton,11940.986
152,Copper ores and concentrates,24329342.088000003
152,Copper,19734138.239
152,"Fruit, edible",6820442.085
152,Carbonates,5743397.044
152,Fish fillets,3544131.068
156,Telephone sets,189778765.936
156,Electronic integrated circuits,137997590.183
156,Automatic data processing machines,127865558.79800001
156,Vehicles,109246457.0
156,Electrical apparatus,89971832.676
162,"Fertilizers, mineral or chemical",3706.1400000000003
162,"Paintings, drawings and pastels",740.602
162,Amine-function compounds,707.722
162,Telephone sets,553.712
162,Units of automatic data processing machines,472.58699999999993
166,"Cruise ships, excursion boats and similar vessels, principally designed for the transport of persons, ferry boats of all kinds",1363.961
166,Vehicles,806.7139999999999
166,Rubber,164.895
166,Communication apparatus,160.68699999999998
166,Monitors,157.354
170,Oils,12665503.3
170,Coal,9543899.914
170,Metals,3114441.333
170,Coffee,2948959.503
170,"Petroleum oils and oils from bituminous minerals, not crude",2931397.769
174,Spices,68947.83
174,Vessels and other floating structures,17581.834
174,"Oils, essential",4979.57
174,Tugs and pusher craft,1804.62
174,Ferrous waste and scrap,1279.519
178,Oils,6710765.769
178,Copper,3690511.117
178,Metals,621997.87
178,"Wood, tropical",247689.848
178,"Petroleum oils and oils from bituminous minerals, not crude",137331.605
180,Copper,13292719.888
180,Cobalt,2397791.781
180,Copper ores and concentrates,2284763.795
180,Oils,792209.399
180,Tin ores and concentrates,457879.284
184,Fish,10032.445
184,Motorboats,8776.826000000001
184,Fish fillets,6827.130999999999
184,Sailboats,1119.113
184,Dresses,551.934
188,"Medical, surgical instruments and appliances",3469990.103
188,"Fruit, edible",3120772.849
188,"Medical, surgical or dental instruments and appliances",2472207.588
188,Artificial parts of the body,1572283.753
188,Electronic integrated circuits,1064042.107
191,Wood,1102839.542
191,Electrical energy,850602.262
191,Medicaments,833857.613
191,"Petroleum oils and oils from bituminous minerals, not crude",777853.436
191,Aluminium,726666.146
192,"Cigars, cheroots and cigarillos",357393.266
192,Nickel,145523.899
192,Zinc ores and concentrates,105237.408
192,Rum and other spirits obtained by distilling fermented sugar-cane products,92567.519
192,Silver ores and concentrates,62477.245
196,"Petroleum oils and oils from bituminous minerals, not crude",1419236.89
196,Tankers,889830.821
196,Vessels,516782.742
196,Medicaments,489138.566
196,Dairy produce,424799.984
203,Vehicles,41924453.365
203,Telephone sets,8445844.198
203,Machinery,6751461.654
203,Vehicle parts,6554686.959
203,Electrical apparatus,5838566.95
204,Metals,676832.052
204,Cotton,504796.70300000004
204,Soya beans,159887.02
204,"Nuts, edible",147804.596
204,Oil-cake and other solid residues,52737.398
208,Medicaments,16502330.84
208,Meat,3550617.018
208,Dairy produce,3372240.653
208,"Petroleum oils and oils from bituminous minerals, not crude",2859648.812
208,Machinery,2843772.628
212,Iron or non-alloy steel,3742.518
212,Electrical apparatus,2991.177
212,"Medical, surgical or dental instruments and appliances",1775.008
212,"Medical, surgical instruments and appliances",1645.657
212,Food preparations,1399.836
214,"Medical, surgical or dental instruments and appliances",1385766.433
214,Metals,1277536.5250000001
214,"Cigars, cheroots and cigarillos",1128200.185
214,Electrical apparatus,1033223.0850000001
214,"Medical, surgical instruments and appliances",694557.759
218,Oils,12041413.145
218,Crustaceans,7083872.67
218,"Fruit, edible",5025550.268
218,Metals,1478316.605
218,Fish preparations,1371231.477
222,"T-shirts, singlets and other vests",725637.186
222,"Jerseys, pullovers, cardigans, waistcoats and similar articles",467054.37700000004
222,Plastics,409092.897
222,Sugars,297465.626
222,Food preparations,267491.971
226,Oils,2515184.583
226,Petroleum gases and other gaseous hydrocarbons,2112115.553
226,Alcohols,343287.852
226,"Wood, tropical",33753.773
226,Ferrous waste and scrap,17151.673
231,Coffee,1323944.119
231,"Vegetables, leguminous",343976.232
231,Oil seeds,256950.604
231,"Flowers, cut",255449.001
231,Metals,232367.79200000002
232,Zinc ores and concentrates,187632.811
232,Copper ores and concentrates,166577.089
232,Metals,136755.94999999998
232,Dresses,4174.361
232,Shirts,2800.626
233,Wood,1807565.935
233,Vehicles,1360286.008
233,Communication apparatus (excluding telephone sets or base stations),669440.456
233,Machinery,621976.651
233,"Petroleum oils and oils from bituminous minerals, not crude",590620.075
238,Molluscs,307979.20999999996
238,Fish,40755.26
238,Wool,6316.5779999999995
238,Meat,2319.0719999999997
238,Aircraft and spacecraft,435.851
242,Waters,279661.541
242,Sugars,113586.564
242,"Petroleum oils and oils from bituminous minerals, not crude",100506.383
242,Fish preparations,56183.523
242,Food preparations,54526.862
246,"Petroleum oils and oils from bituminous minerals, not crude",6350251.02
246,Paper and paperboard,5023277.924
246,"Steel, stainless",4057637.549
246,Wood pulp,3358027.925
246,Machinery,3086433.378
251,Vehicles,42147844.838
251,Medicaments,27223693.491
251,"Aeroplanes and other aircraft, except unmanned",27009820.199
251,Wine,13281646.271
251,Cases and containers,12438285.825
258,Pearls,123423.635
258,Fish,18502.755
258,Aircraft and spacecraft,12916.445
258,Turbo-jets,5352.021
258,Spices,5143.902999999999
260,"Paintings, drawings and pastels",4084.261
260,Fish,2745.844
260,Crustaceans,1986.989
260,Fish fillets,1246.635
260,Perfumes and toilet waters,413.44
262,Vegetable oils,193117.634
262,Bromides,131000.101
262,"Petroleum oils and oils from bituminous minerals, not crude",98929.728
262,Sheep,30355.039999999997
262,Bovine animals,8966.025
266,Oils,6429163.594
266,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",1761189.31
266,Vessels,804711.445
266,Floating or submersible drilling or production platforms,667920.0160000001
266,"Wood, tropical, n.e.c. in item no. 4407.2, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or finger-jointed, of a thickness exceeding 6mm",380568.043
268,Electrical energy,472189.32899999997
268,"Fertilizers, mineral or chemical",309414.081
268,Copper ores and concentrates,284861.06799999997
268,"T-shirts, singlets and other vests",155422.275
268,Ferro-alloys,125298.193
270,Medicaments,298698.614
270,Vehicles,244634.725
270,"Petroleum oils and oils from bituminous minerals, not crude",109108.614
270,Trailers and semi-trailers,104026.774
270,Machinery,92959.895
275,Ferrous waste and scrap,68601.87
275,"Fruit, edible",56194.039
275,Vegetable oils,10894.77
275,Stone,7218.717
275,Meat preparations,5823.29
276,Vehicles,213303630.507
276,Medicaments,68821990.452
276,Vehicle parts,44249868.536
276,Machinery,43235816.129
276,Plastics,38875861.48
288,Metals,7985439.955
288,Oils,4231086.666999999
288,Cocoa beans,1104074.206
288,Cocoa,799064.117
288,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",489968.14
292,"Petroleum oils and oils from bituminous minerals, not crude",122418.06099999999
292,Petroleum gases and other gaseous hydrocarbons,77529.166
292,Motorboats,21364.685999999998
292,Vehicles,16398.933
292,Vessels,9430.825
296,Fish,71666.542
296,Fish fillets,4330.949
296,Vegetable oils,1038.797
296,"Steel, stainless",920.0
296,Turbines,668.003
300,"Petroleum oils and oils from bituminous minerals, not crude",14546423.807
300,Medicaments,2830288.103
300,Aluminium,2784698.162
300,Vegetable oils,1623623.259
300,"Fruit, edible",1543021.1130000001
304,Fish,613051.018
304,Crustaceans,561996.752
304,Crustacean preparations,259289.329
304,Fish fillets,116062.36399999999
304,"Fishing vessels, factory ships and other vessels",20860.526
308,Fish,8547.549
308,Spices,6853.202
308,"Fruit, edible",4214.503000000001
308,Copper,1203.0990000000002
308,Paints and varnishes,1086.3690000000001
316,Ferrous waste and scrap,3440.7809999999995
316,Copper,1725.329
316,Cases and containers,1106.233
316,Aluminium,853.167
316,Turbines,529.891
320,"Fruit, edible",1682592.014
320,Coffee,1015764.098
320,Vegetable oils,953085.741
320,Sugars,707688.586
320,Plastics,484219.39
324,Metals,9649858.609000001
324,Aluminium ores and concentrates,7619841.271000001
324,Cocoa beans,215824.523
324,Oils,79809.396
324,"Nuts, edible",73724.201
328,Oils,10837910.337
328,Metals,917963.656
328,Aluminium ores and concentrates,111529.552
328,Cereals,86571.352
328,Rum and other spirits obtained by distilling fermented sugar-cane products,34224.903
332,"T-shirts, singlets and other vests",418392.332
332,"Jerseys, pullovers, cardigans, waistcoats and similar articles",152352.847
332,"Trousers, bib and brace overalls, breeches and shorts",148979.92500000002
332,Shirts,54921.383
332,"Oils, essential",38372.134
340,Coffee,1581906.739
340,Insulated electric conductors,1218342.207
340,"Jerseys, pullovers, cardigans, waistcoats and similar articles",1098849.284
340,"T-shirts, singlets and other vests",864121.948
340,Vegetable oils,541756.031
344,Metals,21555685.926
344,Electronic integrated circuits,12553013.315
344,Turbo-jets,8355833.034999999
344,Telephone sets,7159148.975
344,Jewellery,5633334.238
348,Vehicles,17493141.131
348,Electric accumulators,10255263.571
348,Medicaments,6525054.31
348,Engines,5924232.806
348,Vehicle parts,5505617.158
352,Aluminium,2824978.764
352,Fish,984980.151
352,Fish fillets,921230.595
352,Artificial parts of the body,329061.168
352,"Flours, meals and pellets",285205.176
360,Coal,37758997.782
360,Vegetable oils,26808152.757
360,Ferro-alloys,15247774.425
360,Petroleum gases and other gaseous hydrocarbons,9102585.884
360,"Steel, stainless",8832832.692
364,Ethylene polymers,1856893.645
364,Iron ores and concentrates,1296908.459
364,Alcohols,871339.6
364,Copper,777561.141
364,Petroleum gases and other gaseous hydrocarbons,631170.175
368,Oils,91973545.18800001
368,"Petroleum oils and oils from bituminous minerals, not crude",10268519.08
368,Metals,1332365.49
368,Petroleum bitumen,1311284.558
368,Petroleum gases and other gaseous hydrocarbons,491719.70499999996
372,Medicaments,37364020.644
372,"Blood, human or animal, antisera, other blood fractions and immunological products",29265100.241
372,Heterocyclic compounds,20584596.296
372,"Vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products",16038558.682999998
372,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues",12089602.884
376,Diamonds,8610838.524999999
376,Electronic integrated circuits,7594124.29
376,Communication apparatus (excluding telephone sets or base stations),2702749.005
376,"Petroleum oils and oils from bituminous minerals, not crude",2463710.785
376,"Fertilizers, mineral or chemical",2393863.296
380,Medicaments,38160090.337
380,Vehicles,32123404.295
380,Machinery,22222305.564
380,"Petroleum oils and oils from bituminous minerals, not crude",20363293.987999998
380,Plastics,15526094.761
384,Metals,4282638.459
384,Cocoa beans,3570683.742
384,Cocoa,2552068.477
384,Rubber,2236164.043
384,"Petroleum oils and oils from bituminous minerals, not crude",1986609.378
388,Aluminium oxide,486847.475
388,"Petroleum oils and oils from bituminous minerals, not crude",298117.44200000004
388,Petroleum gases and other gaseous hydrocarbons,240325.026
388,Rum and other spirits obtained by distilling fermented sugar-cane products,76265.537
388,Aluminium ores and concentrates,67660.91100000001
392,Vehicles,131152681.618
392,Electronic integrated circuits,33519522.161000002
392,Vehicle parts,20933050.536000002
392,Iron or non-alloy steel,18779799.984
392,Electrical apparatus,16948526.707
398,Oils,38145500.393
398,Metals,19047985.577
398,Uranium,3448767.1720000003
398,Copper,3353673.77
398,Copper ores and concentrates,3068894.5250000004
400,"Fertilizers, mineral or chemical",2732280.971
400,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk",1049462.0099999998
400,"Trousers, bib and brace overalls, breeches and shorts",929460.963
400,Jewellery,830133.443
400,Medicaments,804703.988
404,"Tea, black",1347255.826
404,"Flowers, cut",700129.242
404,"Petroleum oils and oils from bituminous minerals, not crude",320008.406
404,"Fruit, edible",277538.23699999996
404,Coffee,264363.188
408,"Wigs, false beards, eyebrows and eyelashes, switches and the like and other articles n.e.c.",162944.054
408,Ferro-alloys,33283.118
408,Tungsten ores and concentrates,25943.87
408,Electrical energy,22264.806
408,"Petroleum oils and oils from bituminous minerals, not crude",9946.494
410,Electronic integrated circuits,130250612.913
410,Vehicles,70332483.315
410,"Petroleum oils and oils from bituminous minerals, not crude",45148348.615
410,Machinery,18246843.289
410,Iron or non-alloy steel,16622124.307
414,Oils,35478126.006
414,"Petroleum oils and oils from bituminous minerals, not crude",22706794.647
414,Petroleum gases and other gaseous hydrocarbons,3210683.387
414,Cyclic hydrocarbons,1309014.8329999999
414,"Derivatives of hydrocarbons n.e.c. in heading no. 2904, whether or not halogenated",903010.21
417,Metals,1412738.8960000002
417,Coal,247130.703
417,Precious metal ores and concentrates,195867.321
417,"Petroleum oils and oils from bituminous minerals, not crude",113643.793
417,Telephone sets,83850.163
418,Electrical energy,2146577.074
418,"Fertilizers, mineral or chemical",838307.524
418,Metals,655647.68
418,Paper & paperboard,453011.03699999995
418,Copper ores and concentrates,427978.86100000003
422,Jewellery,581805.404
422,Diamonds,311943.586
422,Metals,203126.22900000002
422,"Fruit, edible",188724.023
422,Ferrous waste and scrap,169602.45500000002
426,Diamonds,475811.687
426,"Trousers, bib and brace overalls, breeches and shorts",149587.954
426,Wool,62933.003000000004
426,"T-shirts, singlets and other vests",47911.809
426,Shirts,44797.138999999996
428,Wood,2419127.155
428,Cereals,1282147.639
428,Medicaments,642047.321
428,Petroleum gases and other gaseous hydrocarbons,618325.848
428,Vehicles,565790.426
430,Metals,766533.249
430,Iron ores and concentrates,309098.734
430,Floating or submersible drilling or production platforms,276238.322
430,Rubber,188294.459
430,Vessels,107007.347
434,Oils,31272568.734
434,Petroleum gases and other gaseous hydrocarbons,1305533.479
434,Metals,798801.1839999999
434,"Petroleum oils and oils from bituminous minerals, not crude",770555.14
434,Ferrous waste and scrap,234909.133
440,"Petroleum oils and oils from bituminous minerals, not crude",5114199.91
440,Furniture,2177019.859
440,Cereals,1698725.3260000001
440,Vehicles,1617048.49
440,Wood,1354939.536
442,Iron or non-alloy steel,2089094.629
442,Plastics,1061446.032
442,Rubber,1056449.216
442,Turbo-jets,982934.207
442,Iron or steel,830479.991
446,Jewellery,419031.289
446,Wrist-watches,183957.353
446,Telephone sets,100627.978
446,Electrical machines and apparatus,78165.417
446,"Trousers, bib and brace overalls, breeches and shorts",76466.268
450,Nickel,877996.632
450,Spices,697172.377
450,Metals,255848.28999999998
450,"Trousers, bib and brace overalls, breeches and shorts",222762.089
450,Stones,163396.232
454,Tobacco,476239.026
454,"Vegetables, leguminous",91939.045
454,"Tea, black",91371.905
454,Oil-cake and other solid residues,46441.06
454,Sugars,42739.958
458,Electronic integrated circuits,69653135.679
458,"Petroleum oils and oils from bituminous minerals, not crude",36036452.955
458,Oils,35586656.736999996
458,Petroleum gases and other gaseous hydrocarbons,16209051.042
458,Vegetable oils,15438211.06
462,Fish,155086.816
462,"Aeroplanes and other aircraft, except unmanned",57760.964
462,Fish preparations,41699.770000000004
462,"Petroleum oils and oils from bituminous minerals, not crude",40643.153000000006
462,Fish fillets,34550.349
466,Metals,6276244.079
466,Cotton,54389.395
466,Oil seeds,34712.788
466,"Fertilizers, mineral or chemical",28584.97
466,Iron ores and concentrates,21934.546
470,"Petroleum oils and oils from bituminous minerals, not crude",3009109.27
470,Electronic integrated circuits,1312175.418
470,Medicaments,718110.6190000001
470,"Unused postage, revenue or similar stamps of current or new issue in the country in which they have, or will have, a recognised face value",289716.537
470,Fish fillets,203582.067
478,Metals,1497558.207
478,Iron ores and concentrates,1357873.1909999999
478,Molluscs,438974.516
478,Fish,218328.639
478,Copper ores and concentrates,162103.474
480,Sugars,310345.222
480,Fish preparations,300596.213
480,"Fertilizers, mineral or chemical",213943.288
480,Diamonds,183018.58899999998
480,"Trousers, bib and brace overalls, breeches and shorts",145084.032
484,Vehicles,106035718.71
484,Oils,32192178.692999996
484,Units of automatic data processing machines,31161434.115999997
484,Vehicle parts,23794032.636
484,Insulated electric conductors,17917390.882
490,Electronic integrated circuits,177751585.638
490,Units of automatic data processing machines,20535459.011
490,Machinery,18257936.954
490,Communication apparatus (excluding telephone sets or base stations),14599235.690000001
490,"Petroleum oils and oils from bituminous minerals, not crude",10416107.141
496,Coal,8432621.794000002
496,Copper ores and concentrates,2647593.9430000004
496,Metals,837980.987
496,Iron ores and concentrates,364638.755
496,Oils,357816.277
498,Insulated electric conductors,716561.036
498,"Petroleum oils and oils from bituminous minerals, not crude",410854.249
498,Cereals,407466.736
498,Vegetable oils,337217.056
498,Oil seeds,259388.80000000002
499,Electrical energy,722779.51
499,Aluminium,195487.466
499,Copper ores and concentrates,73761.242
499,Medicaments,63329.336
499,Aluminium ores and concentrates,54436.926
500,Sands,819.006
500,"Aircraft launching gear, deck-arrestor or similar gear and parts thereof",700.811
500,Rubber,359.196
500,Insulated electric conductors,314.956
500,Spices,183.39
504,Vehicles,7541123.89
504,"Fertilizers, mineral or chemical",6383317.693
504,Insulated electric conductors,5431733.825999999
504,"Fruit, edible",2250658.088
504,Vegetables,2069990.232
508,Coal,2734148.1969999997
508,Petroleum gases and other gaseous hydrocarbons,1878884.845
508,Aluminium,1685381.08
508,Metals,700670.241
508,Stones,538690.3420000001
512,Oils,29277213.7
512,"Petroleum oils and oils from bituminous minerals, not crude",7741630.973
512,Petroleum gases and other gaseous hydrocarbons,6397604.034
512,Iron or non-alloy steel,4208948.302
512,Iron ores and concentrates,1879465.4849999999
516,Metals,1255837.217
516,Diamonds,852290.3049999999
516,Uranium,844275.5229999999
516,Copper,424325.99799999996
516,Fish,401734.12
520,Fish,162563.264
520,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk",10789.283
520,"Medical, surgical or dental instruments and appliances",1202.948
520,Machinery,559.03
520,Vegetable preparations,417.869
524,Carpets and other textile floor coverings,108182.55
524,Iron or non-alloy steel,103536.746
524,Yarn,95995.867
524,Spices,83349.071
524,Vegetable oils,82931.76000000001
528,"Petroleum oils and oils from bituminous minerals, not crude",57650980.272
528,Oils,24280841.71
528,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,18139196.859
528,Vehicles,16822395.422
528,Medicaments,16060218.995000001
531,Diamonds,89895.274
531,Oils,30413.05
531,"Petroleum oils and oils from bituminous minerals, not crude",17040.679
531,Metals,17011.483
531,Petroleum bitumen,12428.087
533,Turbines,35213.829999999994
533,"Fruit, edible",7148.616
533,Heat exchange units,6338.028
533,Ferrous waste and scrap,5527.586
533,Copper,2940.46
534,Ferrous waste and scrap,1935.065
534,Jewellery,906.327
534,Sailboats,892.058
534,Copper,502.453
534,Aluminium,488.612
535,"Petroleum oils and oils from bituminous minerals, not crude",45711.31999999999
535,Salt (including table salt and denatured salt),2643.982
535,Orthopaedic or fracture appliances,657.877
535,"Medical, surgical or dental instruments and appliances",503.388
535,"Beverages, fermented",414.286
540,Ferro-alloys,1031539.0530000001
540,Nickel,557661.228
540,Nickel ores and concentrates,407605.678
540,Crustaceans,12993.232
540,"Oils, essential",4447.052
548,Fish,118608.542
548,Vessels,26354.21
548,"Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered",22103.66
548,Fish fillets,8881.358
548,Metals,3191.393
554,Dairy produce,12515413.311999999
554,Meat,5054641.0600000005
554,Wood,2591046.23
554,Food preparations,2302242.807
554,"Fruit, edible",2284341.785
558,Metals,1169039.956
558,"T-shirts, singlets and other vests",977315.449
558,Insulated electric conductors,854569.0739999999
558,Meat,689503.801
558,Coffee,682954.083
562,Metals,545190.5920000001
562,Oil seeds,346968.09
562,Uranium ores and concentrates,204356.951
562,Uranium,181135.19
562,"Petroleum oils and oils from bituminous minerals, not crude",115575.829
566,Oils,45409663.225
566,Petroleum gases and other gaseous hydrocarbons,8251554.562
566,Metals,1536049.966
566,"Fertilizers, mineral or chemical",1145874.125
566,Cocoa beans,783300.864
570,Abrasive powder or grain,2667.197
570,"Millstones, grindstones, grinding wheels and the like",466.23900000000003
570,"Coin (other than gold coin), not being legal tender",399.29100000000005
570,Collections and collectors' pieces,282.051
570,Rubber,254.788
574,Footwear,412.722
574,Seeds,252.286
574,Vehicles,165.292
574,Wood pulp,97.921
574,"Mountings, fittings and similar articles",87.25
579,Petroleum gases and other gaseous hydrocarbons,71147187.725
579,Oils,53235313.995
579,Fish,11257285.201
579,"Petroleum oils and oils from bituminous minerals, not crude",6565705.859
579,Aluminium,5519219.5
580,Insulated electric conductors,283.71299999999997
580,Electric accumulators,132.437
580,Aluminium,126.392
