Importer,Category,Import Value
50,"Fabrics, woven",5137574.522
50,Petroleum gases and other gaseous hydrocarbons,2541069.035
50,Cotton,2232857.072
50,Fabrics,1984431.743
51,Metals,1594718.0540000002
51,Vehicles,1258263.436
51,Diamonds,664702.753
51,Telephone sets,613674.3489999999
51,Petroleum gases and other gaseous hydrocarbons,513554.8
52,"Petroleum oils and oils from bituminous minerals, not crude",232048.791
52,Vehicles,137552.051
52,Vessels,54364.968
52,Plastics,41082.347
52,"Aeroplanes and other aircraft, except unmanned",36314.891
56,Vehicles,44102901.089
56,Medicaments,27000811.45
56,"Petroleum oils and oils from bituminous minerals, not crude",22329128.764000002
56,Petroleum gases and other gaseous hydrocarbons,22208524.520999998
56,Oils,22034018.759000003
60,Tankers,400166.03
60,"Petroleum oils and oils from bituminous minerals, not crude",102845.764
60,Containers,54048.424
60,Vessels,50543.89
60,Vehicles,40980.935
64,"Petroleum oils and oils from bituminous minerals, not crude",164593.793
64,Metals,73451.097
64,Ferrous products,39305.008
64,"Propylene, other olefin polymers",37616.14599999999
64,Wood,34726.959
68,"Petroleum oils and oils from bituminous minerals, not crude",2030555.452
68,Vehicles,853978.661
68,Iron or non-alloy steel,373035.36
68,Plastics,257748.778
68,Rubber,238961.848
70,"Petroleum oils and oils from bituminous minerals, not crude",869165.9
70,Vehicles,781585.6460000001
70,Aluminium,489566.109
70,Plastics,428945.10599999997
70,Iron or non-alloy steel,407477.323
72,"Petroleum oils and oils from bituminous minerals, not crude",1184071.4379999998
72,Diamonds,1026218.828
72,Vehicles,301142.593
72,Electrical energy,153534.00400000002
72,Cereals,150127.205
76,"Petroleum oils and oils from bituminous minerals, not crude",17946643.441
76,"Fertilizers, mineral or chemical",15312771.896
76,Vehicles,11701841.061
76,Oils,9529570.535
76,Electrical apparatus,6025715.215
84,"Petroleum oils and oils from bituminous minerals, not crude",252121.906
84,Vehicles,81002.581
84,Artificial parts of the body,75859.095
84,Cigarettes,52757.305
84,Vessels,47521.921
86,"Petroleum oils and oils from bituminous minerals, not crude",38481.100999999995
86,Aluminium,7936.920999999999
86,Animal products,7559.746
86,Insulated electric conductors,4247.587
86,Buildings,1983.315
90,"Petroleum oils and oils from bituminous minerals, not crude",68577.641
90,Vehicles,26520.918
90,Fish,24853.296
90,Plastics,24569.593
90,Iron or steel,19347.212
92,Motorboats,139258.219
92,Sailboats,107762.71800000001
92,"Petroleum oils and oils from bituminous minerals, not crude",93463.97899999999
92,"Aeroplanes and other aircraft, except unmanned",73086.329
92,Tankers,40831.747
96,Oils,3828299.248
96,Metals,714281.874
96,"Petroleum oils and oils from bituminous minerals, not crude",675048.305
96,Vehicles,255046.386
96,Coal,165959.81100000002
100,Oils,3140146.088
100,Vehicles,2413969.64
100,Copper ores and concentrates,1881004.157
100,Medicaments,1775984.75
100,Electrical apparatus,1468416.2989999999
104,"Petroleum oils and oils from bituminous minerals, not crude",4936815.892
104,"Fabrics, woven",1526795.899
104,"Fertilizers, mineral or chemical",906025.934
104,Oils,896937.619
104,Iron or non-alloy steel,786387.364
108,"Fertilizers, mineral or chemical",66422.486
108,Cement,30974.246
108,Vehicles,27317.332
108,Iron or non-alloy steel,22942.185
108,Medicaments,22311.989999999998
112,Vehicles,3521910.093
112,Telephone sets,517142.314
112,Fabrics,440219.564
112,Medicaments,414865.534
112,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",336069.407
116,"Petroleum oils and oils from bituminous minerals, not crude",3241861.296
116,Fabrics,1928554.713
116,"Fabrics, woven",1513996.155
116,Metals,1429275.2710000002
116,Electrical apparatus,1286508.387
120,Cereals,408524.18799999997
120,"Petroleum oils and oils from bituminous minerals, not crude",294801.563
120,Vehicles,288437.195
120,Plastics,259995.359
120,Iron or non-alloy steel,242493.425
124,Vehicles,66598088.309
124,"Petroleum oils and oils from bituminous minerals, not crude",16446048.284999998
124,Oils,14724986.728
124,Metals,13861048.7
124,Plastics,11045403.465
132,"Petroleum oils and oils from bituminous minerals, not crude",133997.819
132,Vehicles,38783.118
132,Dairy produce,34365.545
132,Plastics,25947.155
132,Food preparations,25803.6
136,Motorboats,1780744.287
136,"Petroleum oils and oils from bituminous minerals, not crude",265082.3
136,Vessels,173603.735
136,Vehicles,75602.95
136,Furniture,31191.898
140,"Petroleum oils and oils from bituminous minerals, not crude",59595.696
140,"Vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products",26536.763
140,Vehicles,18553.827
140,Meat and edible offal,11942.686
140,Tanks and other armoured fighting vehicles,11451.734
144,"Petroleum oils and oils from bituminous minerals, not crude",2362580.73
144,Oils,921231.685
144,"Fabrics, woven",874409.269
144,Fabrics,811575.381
144,Medicaments,491633.023
148,Vehicles,82633.885
148,Jewellery,80087.01800000001
148,Food preparations,64097.736
148,Medicaments,53591.221
148,Iron or non-alloy steel,46715.25
152,"Petroleum oils and oils from bituminous minerals, not crude",7901098.588
152,Vehicles,6844765.453
152,Oils,4535750.437
152,Petroleum gases and other gaseous hydrocarbons,2700948.602
152,Machinery,1761034.926
156,Oils,333242581.453
156,Electronic integrated circuits,181886231.424
156,Iron ores and concentrates,117997462.543
156,Petroleum gases and other gaseous hydrocarbons,82979595.556
156,Metals,82782913.078
162,"Helicopters, except unmanned",47581.853
162,"Petroleum oils and oils from bituminous minerals, not crude",16329.05
162,Vehicles,2446.151
162,Iron or steel,1790.348
162,Air conditioning machines,902.294
166,Vehicles,2494.881
166,Iron or steel,1245.163
166,Vessels,570.139
166,Aluminium,460.526
166,Engines,367.658
170,"Petroleum oils and oils from bituminous minerals, not crude",4341813.283
170,Vehicles,3615228.614
170,Cereals,2664754.918
170,Medicaments,2159118.72
170,"Aeroplanes and other aircraft, except unmanned",2069978.506
174,Waters,47132.957
174,"Petroleum oils and oils from bituminous minerals, not crude",36486.301999999996
174,Cereals,29538.016999999996
174,Machinery parts,23217.03
174,Meat and edible offal,16131.721
178,Vessels,387636.208
178,Meat and edible offal,214898.232
178,Vehicles,208709.515
178,"Petroleum oils and oils from bituminous minerals, not crude",140215.04
178,Iron or steel,122065.258
180,Vehicles,782630.205
180,Iron or steel,460882.148
180,Machinery,371801.964
180,"Petroleum oils and oils from bituminous minerals, not crude",323193.284
180,Sulphur of all kinds,292369.252
184,Motorboats,56067.291
184,"Petroleum oils and oils from bituminous minerals, not crude",37430.191
184,Vehicles,6613.951
184,Food preparations,5325.915
184,Meat,4410.495
188,"Petroleum oils and oils from bituminous minerals, not crude",2465331.6720000003
188,Vehicles,1441750.054
188,Plastics,1108063.379
188,Cereals,520080.047
188,Medicaments,509238.025
191,Vehicles,2758039.782
191,"Petroleum oils and oils from bituminous minerals, not crude",2489901.842
191,Petroleum gases and other gaseous hydrocarbons,2080113.744
191,Oils,1242022.157
191,Medicaments,1151101.827
192,Beer,332379.451
192,Meat and edible offal,324982.27900000004
192,Cereals,211917.29100000003
192,Vegetable oils,106029.516
192,Machinery,101726.56999999999
196,"Petroleum oils and oils from bituminous minerals, not crude",3232564.286
196,Vehicles,1055719.749
196,"Cruise ships, excursion boats and similar vessels, principally designed for the transport of persons, ferry boats of all kinds",1042541.6839999999
196,Vessels,521138.875
196,Medicaments,508658.299
203,Vehicles,11608485.867
203,Telephone sets,9026805.155
203,Vehicle parts,6582347.651000001
203,Plastics,5695483.675
203,Electric accumulators,5638294.82
204,Cereals,813709.794
204,"Petroleum oils and oils from bituminous minerals, not crude",356029.197
204,Vegetable oils,314180.065
204,Vehicles,313746.559
204,"Fabrics, woven",310330.779
208,Vehicles,9075926.296
208,Petroleum gases and other gaseous hydrocarbons,7948007.987
208,Medicaments,4078677.442
208,"Petroleum oils and oils from bituminous minerals, not crude",3335713.269
208,Oils,3009670.634
212,Iron or non-alloy steel,46242.998
212,Motorboats,27522.164
212,Vehicles,26973.542
212,Plastics,23474.468
212,"Petroleum oils and oils from bituminous minerals, not crude",17772.571000000004
214,"Petroleum oils and oils from bituminous minerals, not crude",2707357.164
214,Vehicles,2264968.2770000002
214,Petroleum gases and other gaseous hydrocarbons,1379441.669
214,Iron or non-alloy steel,1042639.171
214,Plastics,1017576.158
218,"Petroleum oils and oils from bituminous minerals, not crude",4441268.809
218,Vehicles,2080337.66
218,Aromatic hydrocarbon mixtures,920636.515
218,Medicaments,778136.446
218,Oil-cake and other solid residues,725427.863
222,"Petroleum oils and oils from bituminous minerals, not crude",1712787.273
222,Vehicles,778467.342
222,Petroleum gases and other gaseous hydrocarbons,512765.453
222,Food preparations,431579.639
222,Cereals,417447.847
226,Vessels,52503.754
226,Meat and edible offal,38667.339
226,Plastics,30783.561999999998
226,Beer,26825.716
226,Food preparations,26316.022
231,"Petroleum oils and oils from bituminous minerals, not crude",2532415.445
231,"Fertilizers, mineral or chemical",1192098.294
231,Vehicles,602530.596
231,Cereals,547153.214
231,Vegetable oils,439043.453
232,Vehicles,34067.019
232,Cereals,28423.287
232,Food preparations,25373.287999999997
232,Wheat or meslin flour,22281.85
232,Machinery,17466.521
233,Vehicles,2399473.6550000003
233,"Petroleum oils and oils from bituminous minerals, not crude",1127562.658
233,Petroleum gases and other gaseous hydrocarbons,768140.826
233,Wood,607796.503
233,Medicaments,566939.938
238,"Petroleum oils and oils from bituminous minerals, not crude",52440.324
238,Aircraft and spacecraft,11136.191
238,Vehicles,8873.871
238,Iron or steel,6226.811000000001
238,Buildings,5975.7919999999995
242,"Petroleum oils and oils from bituminous minerals, not crude",847442.591
242,Vehicles,163199.799
242,Cereals,97858.931
242,Dental instruments and appliances,76260.515
242,Dairy produce,73623.793
246,Oils,5992353.58
246,Vehicles,5725615.543
246,"Petroleum oils and oils from bituminous minerals, not crude",3348671.11
246,Medicaments,1731979.847
246,Machinery,1584203.751
251,Vehicles,60566855.425
251,Petroleum gases and other gaseous hydrocarbons,44951049.231
251,Oils,30358884.085
251,"Petroleum oils and oils from bituminous minerals, not crude",27993859.116
251,Medicaments,17782147.703
258,Vehicles,131539.637
258,"Petroleum oils and oils from bituminous minerals, not crude",116193.22
258,Medicaments,79591.461
258,Food preparations,74087.593
258,Meat,58139.03
260,Odoriferous substances and mixtures,1790.142
260,"Chemical products, mixtures and preparations",1688.6139999999998
260,Surveying equipment,1445.782
260,Fish,1162.211
260,Turbo-propellers,988.868
262,"Petroleum oils and oils from bituminous minerals, not crude",1043528.161
262,Vegetable oils,939927.1780000001
262,"Fertilizers, mineral or chemical",668045.37
262,Iron or non-alloy steel,554589.292
262,Vehicles,438895.13800000004
266,Floating or submersible drilling or production platforms,734935.671
266,Vessels,260780.813
266,"Petroleum oils and oils from bituminous minerals, not crude",240341.37399999998
266,Vehicles,192503.536
266,Cereals,135990.31
268,Vehicles,2341228.291
268,"Petroleum oils and oils from bituminous minerals, not crude",583981.319
268,Medicaments,529247.855
268,Petroleum gases and other gaseous hydrocarbons,346720.87600000005
268,Sugars,308516.75700000004
270,Motorcycles (including mopeds) and cycles,1612072.7119999998
270,Oils,396360.012
270,"Petroleum oils and oils from bituminous minerals, not crude",210698.586
270,"Fabrics, woven",200207.773
270,Cereals,147692.675
275,Vehicles,146866.87
275,Cement,135687.956
275,Sugars,135063.495
275,Food preparations,114612.95300000001
275,Iron or non-alloy steel,76148.059
276,Vehicles,102963486.661
276,Petroleum gases and other gaseous hydrocarbons,39092615.04
276,Oils,36908074.78
276,"Petroleum oils and oils from bituminous minerals, not crude",30976968.231000002
276,"Blood, human or animal, antisera, other blood fractions and immunological products",29887126.562
288,"Petroleum oils and oils from bituminous minerals, not crude",1647470.18
288,Iron or non-alloy steel,682786.742
288,Vehicles,650098.299
288,Plastics,594528.317
288,Footwear,458448.209
292,"Petroleum oils and oils from bituminous minerals, not crude",7088518.153
292,Oils and other products of the distillation of high temperature coal tar,734867.169
292,Petroleum gases and other gaseous hydrocarbons,520154.17400000006
292,Oils,501480.52300000004
292,Vehicles,260832.718
296,Vessels,18114.178
296,Machinery,9793.710000000001
296,Food preparations,8481.403
296,"Petroleum oils and oils from bituminous minerals, not crude",7069.786999999999
296,Cereals,6386.796
300,Oils,13102651.191000002
300,"Petroleum oils and oils from bituminous minerals, not crude",5255165.299000001
300,Petroleum gases and other gaseous hydrocarbons,4721295.65
300,Vehicles,4120514.35
300,Medicaments,2826296.74
304,"Petroleum oils and oils from bituminous minerals, not crude",250419.724
304,"Fishing vessels, factory ships and other vessels",91864.97
304,Iron or steel,45496.585
304,Food preparations,30395.018
304,Vehicles,27998.57
308,"Petroleum oils and oils from bituminous minerals, not crude",48894.772000000004
308,Vehicles,24539.559
308,Cereals,17758.979
308,Meat and edible offal,15444.112
308,Sailboats,14512.827
316,"Petroleum oils and oils from bituminous minerals, not crude",558411.7309999999
316,Vehicles,78118.501
316,Cases and containers,25794.663
316,Wrist-watches,14798.63
316,Turbo-jets,11012.197
320,"Petroleum oils and oils from bituminous minerals, not crude",4253154.164
320,Vehicles,1941570.569
320,Iron or non-alloy steel,1051439.791
320,Food preparations,817827.254
320,Cereals,781755.178
324,"Petroleum oils and oils from bituminous minerals, not crude",771555.324
324,Cereals,454331.97699999996
324,Vehicles,330342.146
324,Iron or non-alloy steel,184463.609
324,Iron or steel,134267.663
328,"Petroleum oils and oils from bituminous minerals, not crude",334782.859
328,Vehicles,317812.996
328,Machinery,166591.72400000002
328,"Taps, cocks, valves and similar appliances",147356.064
328,Iron or steel,139334.43300000002
332,"Petroleum oils and oils from bituminous minerals, not crude",543279.284
332,Cereals,436006.549
332,Food preparations,192454.254
332,"Fabrics, woven",169995.745
332,Vegetable oils,167016.51400000002
340,"Petroleum oils and oils from bituminous minerals, not crude",1901014.991
340,Vehicles,1001218.024
340,Cotton yarn,675044.154
340,Iron or non-alloy steel,654451.63
340,Food preparations,552571.784
344,Electronic integrated circuits,179093699.694
344,Metals,55922761.442
344,Telephone sets,36063221.246
344,Jewellery,22780507.809
344,Electrical apparatus,21480785.232
348,Vehicles,6483414.42
348,Petroleum gases and other gaseous hydrocarbons,5199499.5030000005
348,Vehicle parts,4556843.742
348,Electrical apparatus,4362375.255
348,Electronic integrated circuits,4348078.835
352,"Petroleum oils and oils from bituminous minerals, not crude",1102551.9789999998
352,Vehicles,886230.393
352,Aluminium oxide,563361.5210000001
352,Carbon electrodes,538460.201
352,"Aeroplanes and other aircraft, except unmanned",237284.8
360,"Petroleum oils and oils from bituminous minerals, not crude",21178946.465
360,Oils,10430743.445
360,Iron or non-alloy steel,6280405.942
360,Machinery,5659477.436
360,Cereals,5523731.895
364,Telephone sets,2723634.5859999997
364,Cereals,2097330.347
364,Soya beans,1240903.507
364,Vehicles,1220998.288
364,Vehicle parts,835399.259
368,"Petroleum oils and oils from bituminous minerals, not crude",6068589.382
368,Vehicles,5455716.654999999
368,Telephone sets,3768104.726
368,Jewellery,2696021.506
368,Metals,2199785.0250000004
372,Heterocyclic compounds,12311829.402
372,"Aeroplanes and other aircraft, except unmanned",10052996.093
372,Medicaments,6128837.802
372,Vehicles,5894675.342
372,"Petroleum oils and oils from bituminous minerals, not crude",4935625.967
376,Vehicles,8241040.302
376,"Petroleum oils and oils from bituminous minerals, not crude",4633056.42
376,Diamonds,3597192.478
376,Oils,3233215.1040000003
376,Medicaments,1855721.874
380,Petroleum gases and other gaseous hydrocarbons,43964366.984000005
380,Vehicles,42555605.246
380,Oils,40913142.834
380,Medicaments,20730316.714
380,Iron or non-alloy steel,11682121.618
384,Oils,2664709.017
384,"Petroleum oils and oils from bituminous minerals, not crude",1383471.391
384,Cereals,939018.7000000001
384,Vehicles,895955.926
384,Floating or submersible drilling or production platforms,891112.346
388,"Petroleum oils and oils from bituminous minerals, not crude",924708.599
388,Vehicles,586381.146
388,Petroleum gases and other gaseous hydrocarbons,563367.686
388,Oils,374812.315
388,Plastics,250647.328
392,Oils,80269009.835
392,Petroleum gases and other gaseous hydrocarbons,52178412.745
392,Coal,39254957.067999996
392,Electronic integrated circuits,27218542.331
392,"Petroleum oils and oils from bituminous minerals, not crude",17137717.898000002
398,Vehicles,6586078.8950000005
398,Footwear,1923047.0
398,Telephone sets,1786349.8809999998
398,Iron or non-alloy steel,1555219.099
398,Plastics,1550849.81
400,Vehicles,3189032.545
400,"Petroleum oils and oils from bituminous minerals, not crude",1881031.903
400,Metals,1323352.3739999998
400,Oils,1043466.717
400,Cereals,1039103.879
404,"Petroleum oils and oils from bituminous minerals, not crude",5228064.449
404,Cereals,1308316.594
404,Vegetable oils,1172971.858
404,Iron or non-alloy steel,922273.735
404,Vehicles,839526.318
408,"Human hair, dressed, thinned, bleached or otherwise worked",160031.219
408,Vegetable oils,120371.851
408,Plastics,99461.943
408,"Fabrics, woven",96887.096
408,Fabrics,84235.624
410,Electronic integrated circuits,47969093.13
410,Petroleum gases and other gaseous hydrocarbons,21570921.621
410,Oils,20596133.869000003
410,Vehicles,15219321.954
410,Coal,12932641.822
414,Vehicles,6242536.14
414,Petroleum gases and other gaseous hydrocarbons,2431297.879
414,Telephone sets,1287907.006
414,Jewellery,1248065.964
414,Medicaments,962879.6730000001
417,Vehicles,4098243.295
417,Footwear,1423151.599
417,"Trousers, bib and brace overalls, breeches and shorts",1347070.665
417,Coats,1231014.509
417,"Jerseys, pullovers, cardigans, waistcoats and similar articles",840847.937
418,"Petroleum oils and oils from bituminous minerals, not crude",1243829.709
418,Vehicles,486388.69
418,Iron or non-alloy steel,253122.187
418,Sugars,246696.28999999998
418,Plastics,224499.815
422,"Petroleum oils and oils from bituminous minerals, not crude",3405912.0409999997
422,Metals,1841949.152
422,Vehicles,742145.885
422,Jewellery,445193.685
422,Diamonds,373568.484
426,"Petroleum oils and oils from bituminous minerals, not crude",219376.13600000003
426,Vehicles,101604.196
426,"Fabrics, woven",72889.30099999999
426,Fabrics,72491.482
426,Cereals,55375.305
428,Vehicles,1447298.432
428,"Petroleum oils and oils from bituminous minerals, not crude",1305741.9689999998
428,Petroleum gases and other gaseous hydrocarbons,1116637.085
428,Medicaments,849199.741
428,Wood,527297.686
430,Vessels,8454498.081
430,"Petroleum oils and oils from bituminous minerals, not crude",3188044.072
430,"Cruise ships, excursion boats and similar vessels, principally designed for the transport of persons, ferry boats of all kinds",536648.2000000001
430,Tankers,479485.399
430,Machinery,361223.325
434,"Petroleum oils and oils from bituminous minerals, not crude",4520924.363
434,Vehicles,793310.45
434,Telephone sets,763146.7189999999
434,Cigarettes,625670.535
434,Food preparations,483462.206
440,Oils,5715029.694
440,Vehicles,3038165.349
440,Petroleum gases and other gaseous hydrocarbons,1978621.276
440,Medicaments,1415771.091
440,Tractors,1119697.127
442,Vehicles,2857720.19
442,"Petroleum oils and oils from bituminous minerals, not crude",2239195.088
442,Rubber,823492.582
442,Plastics,710626.829
442,Electrical energy,689461.032
446,Jewellery,1045374.005
446,Telephone sets,715305.055
446,Electrical energy,501077.306
446,Vehicles,462335.98
446,Fish,423893.897
450,"Petroleum oils and oils from bituminous minerals, not crude",731455.177
450,Cereals,289901.05700000003
450,Vegetable oils,206880.139
450,"Fabrics, woven",198955.137
450,Vehicles,165059.809
454,"Petroleum oils and oils from bituminous minerals, not crude",513708.052
454,"Fertilizers, mineral or chemical",352101.249
454,Vehicles,119883.578
454,"Unused postage, revenue or similar stamps of current or new issue in the country in which they have, or will have, a recognised face value",110229.742
454,Iron or non-alloy steel,82819.494
458,Electronic integrated circuits,32432656.788
458,"Petroleum oils and oils from bituminous minerals, not crude",28519655.599999998
458,Oils,14471635.645
458,Electrical apparatus,7120138.71
458,Coal,5807853.748
462,"Petroleum oils and oils from bituminous minerals, not crude",629751.927
462,Iron or non-alloy steel,97621.501
462,Dairy produce,85741.592
462,Metals,83539.41
462,Plastics,81426.464
466,"Petroleum oils and oils from bituminous minerals, not crude",1915210.6760000002
466,Telephone sets,247966.26
466,"Fabrics, woven",245946.644
466,Cement,240303.95500000002
466,Vehicles,168636.363
470,"Petroleum oils and oils from bituminous minerals, not crude",1604687.9139999999
470,Motorboats,768016.216
470,Vessels,766628.463
470,Electronic integrated circuits,659181.775
470,"Aeroplanes and other aircraft, except unmanned",631530.13
478,Sugars,251265.796
478,Vegetable oils,246206.13299999997
478,"Fabrics, woven",182687.05500000002
478,Cereals,176746.283
478,Vehicles,170742.136
480,"Petroleum oils and oils from bituminous minerals, not crude",1423003.655
480,Vehicles,458396.181
480,Fish,222674.424
480,Coal,175013.97799999997
480,Medicaments,156518.235
484,"Petroleum oils and oils from bituminous minerals, not crude",38475322.367
484,Vehicles,27563434.001
484,Electronic integrated circuits,21630791.15
484,Machinery,21237223.948
484,Vehicle parts,19452837.763
490,Electronic integrated circuits,55462436.315
490,Oils,29523627.294
490,Petroleum gases and other gaseous hydrocarbons,12972199.175999999
490,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,11546564.57
490,Coal,11263752.677
496,Vehicles,931468.143
496,Iron or steel,257710.16
496,Machinery,202073.822
496,Iron or non-alloy steel,167030.615
496,Tractors,165460.416
498,"Petroleum oils and oils from bituminous minerals, not crude",1267534.976
498,Petroleum gases and other gaseous hydrocarbons,600832.048
498,Vehicles,571794.037
498,Medicaments,259254.793
498,Plastics,241286.661
499,"Petroleum oils and oils from bituminous minerals, not crude",358923.431
499,Electrical energy,353438.45900000003
499,Vehicles,352756.52
499,Aluminium,185007.821
499,Medicaments,142611.835
500,"Petroleum oils and oils from bituminous minerals, not crude",1488.875
500,Electric generating sets,938.479
500,Electric generators,933.2180000000001
500,Vehicles,871.8489999999999
500,Food preparations,680.0329999999999
504,"Petroleum oils and oils from bituminous minerals, not crude",7102346.587
504,Vehicles,3451977.228
504,Cereals,2768784.316
504,Coal,2109233.71
504,Petroleum gases and other gaseous hydrocarbons,2088738.283
508,"Petroleum oils and oils from bituminous minerals, not crude",3564356.7939999998
508,Chromium ores and concentrates,1692727.3809999998
508,Ferro-alloys,1059137.36
508,Cereals,717311.378
508,Iron ores and concentrates,529577.423
512,"Petroleum oils and oils from bituminous minerals, not crude",8109522.777000001
512,Vehicles,3036022.105
512,Oils,1573706.449
512,Iron ores and concentrates,1219976.111
512,Iron or non-alloy steel,916544.843
516,"Petroleum oils and oils from bituminous minerals, not crude",1499066.483
516,Vehicles,505543.467
516,Copper ores and concentrates,290740.09800000006
516,Electrical energy,207394.95799999998
516,Machinery,155937.82
520,Titanium ores and concentrates,6000.718
520,Vehicles,4018.838
520,Tugs and pusher craft,3395.229
520,Food preparations,3321.4410000000003
520,"Petroleum oils and oils from bituminous minerals, not crude",2952.305
524,"Petroleum oils and oils from bituminous minerals, not crude",1663786.6469999999
524,Iron or non-alloy steel,513845.673
524,Petroleum gases and other gaseous hydrocarbons,384322.653
524,Cereals,365234.366
524,Ferrous products,308662.687
528,Oils,64196435.176
528,"Petroleum oils and oils from bituminous minerals, not crude",49620169.838
528,Vehicles,30013625.897
528,Medicaments,18859252.733
528,Petroleum gases and other gaseous hydrocarbons,18502681.677
531,"Petroleum oils and oils from bituminous minerals, not crude",253742.092
531,Vehicles,80403.168
531,Food preparations,40614.498999999996
531,Meat,27112.435
531,Medicaments,26458.191
533,"Petroleum oils and oils from bituminous minerals, not crude",179497.792
533,Vehicles,63544.824
533,Jewellery,40205.188
533,Cigarettes,38553.038
533,Meat,37947.529
534,Jewellery,186190.32400000002
534,"Petroleum oils and oils from bituminous minerals, not crude",117439.034
534,Motorboats,95212.858
534,Stones,72103.498
534,Diamonds,38795.043
535,"Petroleum oils and oils from bituminous minerals, not crude",564251.492
535,Medicaments,9553.889
535,Furniture,8565.045
535,Iron or steel,8096.509
535,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products",7853.454
540,"Petroleum oils and oils from bituminous minerals, not crude",480710.62100000004
540,Vehicles,201593.051
540,Coal,145509.763
540,Machinery,81633.254
540,"Aeroplanes and other aircraft, except unmanned",79067.114
548,"Petroleum oils and oils from bituminous minerals, not crude",68130.13500000001
548,Vehicles,26126.61
548,Food preparations,18002.316000000003
548,Meat and edible offal,13232.856999999998
548,Plastics,13226.09
554,"Petroleum oils and oils from bituminous minerals, not crude",6920681.129
554,Vehicles,5694257.998
554,Plastics,983281.908
554,"Aeroplanes and other aircraft, except unmanned",870985.234
554,Medicaments,853224.929
558,"Petroleum oils and oils from bituminous minerals, not crude",745284.509
558,Oils,604926.458
558,Vehicles,555667.512
558,"T-shirts, singlets and other vests",468666.859
558,Fabrics,411792.438
562,Vehicles,115210.664
562,Food preparations,114999.602
562,Cereals,102708.04100000001
562,Iron or steel,87548.89899999999
562,"Petroleum oils and oils from bituminous minerals, not crude",59971.225
566,"Petroleum oils and oils from bituminous minerals, not crude",19059824.826
566,Tanks and other armoured fighting vehicles,9170952.328000002
566,Cereals,2586890.672
566,Vehicles,1794735.988
566,Machinery,1017204.282
570,"Petroleum oils and oils from bituminous minerals, not crude",3796.526
570,Vehicles,1400.765
570,Plastics,776.5070000000001
570,Machinery,677.23
570,Food preparations,479.246
574,"Petroleum oils and oils from bituminous minerals, not crude",4094.67
574,"Propylene, other olefin polymers",2535.013
574,Vehicles,1884.488
574,Lighting or signalling equipment,1293.629
574,Food preparations,993.962
579,Vehicles,7832645.88
579,"Petroleum oils and oils from bituminous minerals, not crude",4751552.601
579,Iron or steel,2453425.61
579,Nickel,2424948.214
579,Plastics,1954608.802
580,"Petroleum oils and oils from bituminous minerals, not crude",90429.57400000001
580,Vehicles,9205.484
580,Jewellery,4072.434
580,Cases and containers,2853.911
